,id,name,slug,st_x,st_y,district,state,region,panchayat,sub_district_type_id,sub_district_name
60,575,Patusari,575-patusari,28.1288747,75.3995089,Jhunjhunu,Rajasthan,,,4.0,Jhunjhunu
61,18,Bonai,18-bonai,21.8182427,84.9562414,Sundargarh,Odisha,,,,
62,605,Kanchipuram town,605-kanchipuram-town,12.8341735,79.7036402,Kanchipuram,Tamil Nadu,,,3.0,Kanchipuram
63,1166,Maliwada,1166-maliwada,19.6975252,75.0105028,Aurangabad,Maharashtra,,,3.0,Gangapur
64,17,Anantapur,17-anantapur,14.6707094,77.5907443,Anantapur,Andhra Pradesh,,,1.0,
65,120,Loharsi,120-loharsi,21.7760342,82.335694,Bilaspur,Chhattisgarh,,,,
66,82,Govindpur,82-govindpur,22.0617414,84.2963391999999,Sambalpur,Odisha,,,,
67,1475,Barwad,1475-barwad,15.8572666,74.5069343,Belgaum,Karnataka,,,,
68,607,Andhakaranazhi,607-andhakaranazhi,9.7493163,76.2862873,Alappuzha,Kerala,,,1.0,Kokkothamanagalam
69,606,Kurseong,606-kurseong,26.8821382,88.2788511,Darjeeling,West Bengal,,,1.0,Kurseong
70,616,Lupungutu,616-lupungutu,22.5355888,85.7611549,West Singhbhum,Jharkhand,,,1.0,Chaibasa
71,613,Kokkothamangalam,613-kokkothamangalam,9.4980667,76.3388484,Alappuzha,Kerala,,,1.0,Kanjikuzhy
72,612,Yercaud,612-yercaud,11.664325,78.1460142,Salem,Tamil Nadu,,,3.0,Yercaud
73,611,Barrackpore,611-barrackpore,22.6168099,88.402895,North 24 Parganas,West Bengal,,,1.0,Barrackpore
74,609,Gashapara,609-gashapara,23.5923992,88.3494328,Nadia,West Bengal,,,1.0,Nakashipara
75,608,Singchung,608-singchung,27.3427633,92.302446,West Kameng,Arunachal Pradesh,,,,
76,610,Purkazi,610-purkazi,77.8536915779114,29.6539338827861,Muzaffarnagar,Uttar Pradesh,Doab,,4.0,Purkazi
77,614,Ichapore,614-ichapore,22.6168099,88.402895,North 24 Parganas,West Bengal,,,1.0,Barrackpore
78,617,Debpukur,617-debpukur,22.6168099,88.402895,North 24 Parganas,West Bengal,,,1.0,Barrackpore II
79,618,Gadholi,618-gadholi,29.5892407,79.646666,Almora,Uttarakhand,,,4.0,Hawalbag
80,619,Chifaltara,619-chifaltara,29.5828604,80.2181884,Pithoragarh,Uttarakhand,,,4.0,Dharchula
81,277,Amaravati,277-amaravati,16.5729831,80.3575128,Guntur,Andhra Pradesh,,,1.0,
82,261,Anantnag,261-anantnag,33.7049708,75.2479061,Anantnag,Jammu and Kashmir,,,1.0,
83,133,Babarwadi,133-babarwadi,16.3492193,73.5594128,Sindhudurg,Maharashtra,,,1.0,
84,384,Bagdunda,384-bagdunda,24.7521631,73.5270189,Udaipur,Rajasthan,,,1.0,Gogunda
85,114,Banda,114-banda,25.4833,80.3333,Banda,Uttar Pradesh,,,,
86,621,Padinjare,621-padinjare,9.4980667,76.3388484,Alappuzha,Kerala,,,1.0,Alappuzha
87,22,Birbhum,22-birbhum,24.3575023,87.8426967,Birbhum,West Bengal,,,,
88,103,Chilika Daad,103-chilika-daad,24.202,82.6659999999999,Sidhi,Madhya Pradesh,,,,
89,122,Damparengpui,122-damparengpui,23.7192447,92.4146957,Mamit,Mizoram,,,,
90,14,Dhinkia,14-dhinkia,20.2721318,86.3652367,Cuttack,Odisha,,,,
91,115,India,115-india,21.77,78.87,Chhindwara,Madhya Pradesh,,,,
92,112,Kibber,112-kibber,32.331667,78.008889,Lahul and Spiti,Himachal Pradesh,,,,
93,86,Kipper Sikkim,86-kipper-sikkim,21.77,78.87,Chhindwara,Madhya Pradesh,,,,
94,154,Koraput,154-koraput,18.7280313,82.5946018248596,Koraput,Odisha,,,,
95,99,Korba,99-korba,22.3594501,82.7500595,Korba,Chhattisgarh,,,,
96,126,Lachen,126-lachen,27.71668,88.557755,East Sikkim District,Sikkim,,,,
97,98,Makardah,98-makardah,22.62,88.24,Hāora,West Bengal,,,,
98,117,Mangalamedu,117-mangalamedu,11.3482638,78.953572,Perambalur,Tamil Nadu,,,,
99,119,Margao,119-margao,15.2736,73.9581,South Goa,Goa,,,,
100,128,Rumtek,128-rumtek,27.3059105,88.5362892000001,East Sikkim District,Sikkim,,,,
101,116,Sirukanpur,116-sirukanpur,11.1520032,78.948623,Pudukkottai,Tamil Nadu,,,,
102,42,South Andamans,42-south-andamans,11.8744724517499,92.6676025390625,South Andaman,Andaman and Nicobar Islands,,,,
103,12,Thiruvavaduthurai,12-thiruvavaduthurai,11.0385694661944,79.5099536132813,Nagapattinam,Tamil Nadu,,,,
104,49,Tiruvallur,49-tiruvallur,13.15,79.9100000000001,Thiruvallur,Tamil Nadu,,,,
105,50,Vellore,50-vellore,12.9165167,79.1324986,Vellore,Tamil Nadu,,,,
106,622,Khairna,622-khairna,29.5892407,79.646666,Almora,Uttarakhand,,,4.0,Lamgara
107,623,Champakulam,623-champakulam,9.4109488,76.4102542,Alappuzha,Kerala,,,1.0,Champakulam
108,625,Karbong Para,625-karbong-para,23.899682,91.4048249,West Tripura,Tripura,,,,
109,626,Palna,626-palna,29.5892407,79.646666,Almora,Uttarakhand,,,4.0,Lamgara
110,628,Mangalore,628-mangalore,12.8437814,75.2479061,Dakshina Kannada,Karnataka,,,3.0,Mangalore
111,629,Mal Bazaar,629-mal-bazaar,26.8648542,88.7421831,Jalpaiguri,West Bengal,,,1.0,Mal
112,630,Baltal,630-baltal,33.7049708,75.2479061,Anantnag,Jammu and Kashmir,,,4.0,Anantnag
113,631,Sunderpur,631-sunderpur,29.5892407,79.646666,Almora,Uttarakhand,,,4.0,Hawalbagh
114,632,Panna,632-panna,29.5892407,79.646666,Almora,Uttarakhand,,,4.0,Lamgara
115,627,Rajpur,627-rajpur,22.4017917,88.1773088,South 24 Parganas,West Bengal,,,1.0,Sonarpur
116,633,Khunt,633-khunt,29.5892407,79.646666,Almora,Uttarakhand,,,4.0,Hawalbagh
117,634,Avalukunnu,634-avalukunnu,9.4980667,76.3388484,Alappuzha,Kerala,,,1.0,Ambalapuzha
118,624,Kaetpara,624-kaetpara,23.17405,88.5639352,Nadia,West Bengal,,,1.0,Ranaghat I
119,615,Karimkulam Chappath,615-karimkulam-chappath,9.7568348,77.116864,Idukki,Kerala,,,1.0,Kattappana
120,70,Sikar,70-sikar,27.6094,75.139911,Sikar,Rajasthan,,,,
121,635,Birnagar,635-birnagar,23.17405,88.5639352,Nadia,West Bengal,,,1.0,Ranaghat I
122,138,Edamalakudi,138-edamalakudi,10.1991729,76.9595497,Idukki,Kerala,,,,
123,980,Volvoi,980-volvoi,15.4942133,74.0109161,North Goa,Goa,,,3.0,Ponda
124,666,Kotidhek,666-kotidhek,29.4041783,80.0842224,Champawat,Uttarakhand,,,4.0,Lohaghat
125,2,Godda district,2-godda-district,25.0544306,87.3624615,Godda,Jharkhand,,,,
126,1167,Malthan,1167-malthan,18.4592892,74.5873348,Pune,Maharashtra,,,3.0,Daund
127,45,Sivagangai,45-sivagangai,9.87,78.48,Sivagangai,Tamil Nadu,,,,
128,655,Sankchura,655-sankchura,22.6574017,88.8671766,North 24 Parganas,West Bengal,,,1.0,Basirhat
129,100,Delhi,100-delhi,28.6322444,77.2207238,New Delhi,Delhi,,,,
130,637,Tarapur,637-tarapur,23.17405,88.5639352,Nadia,West Bengal,,,1.0,Ranaghat I
131,663,Chandrapur,663-chandrapur,23.047858,88.5130144,Nadia,West Bengal,,,1.0,Chakdaha
132,640,Ambika Market,640-ambika-market,9.7216446,76.3926668,Kottayam,Kerala,,,1.0,Vaikom
133,638,Matela,638-matela,29.8514748,79.7743314,Bageshwar,Uttarakhand,,,4.0,Bageshwar
134,569,Chalkmir,569-chalkmir,22.1352378,88.4016041,South 24 Parganas,West Bengal,,,1.0,Maheshtala
135,642,Yusmarg,642-yusmarg,34.1255413,74.9442585,Budgam,Jammu and Kashmir,,,4.0,Chadoora
136,643,Billori,643-billori,29.8514748,79.7743314,Bageshwar,Uttarakhand,,,4.0,Bageshwar
137,646,Natna,646-natna,23.9742977,88.6265475,Nadia,West Bengal,,,1.0,Karimpur I
138,19,Alappuzha,19-alappuzha,9.4980667,76.3388484,Alappuzha,Kerala,,,,
